Age Group,Order,Genre,Artist,Listening Time
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Boy Band ,Lorde,30094
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,Taylor Swift ,35356
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Reggaeton ,Olivia Rodrigo,35356
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Pop Rap ,Kanye West,35356
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Pop Rock ,Justin Bieber ,35356
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Chicago Rap ,Jordin Sparks,35356
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Pop Punk,Still Woozy,38769
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Math Rock,Hail The Sun,38769
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Indie Rock,Paramore,38769
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Modern Rock,Turnstile,38769
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Comedy,La Dispute,38769
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,Justin Bieber,90952
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,K-Pop,Bts,90952
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Melodic Dubstep,Illenium,90952
